MapDataExternalID;MainKey;SecondaryKey;Values
PPM_Values;INIP@TBL1@Espresso;"";[true,"","","1","","INIP_TBL1",[[0, "I", 5, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;INIP@TBL1@Double Espresso;"";[[true,"","","1","","INIP_TBL1",[[0, "I", 7, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;INIP@TBL1@Americano;"";[[true,"","","1","","INIP_TBL1",[[0, "I", 9, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;INIP@TBL1@Cappuccino;"";[[true,"","","1","","INIP_TBL1",[[0, "I", 15, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;INIP@TBL1@Latte;"";[[true,"","","1","","INIP_TBL1",[[0, "I", 15, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;INIP@TBL1@Raff Coffee;"";[[true,"","","1","","INIP_TBL1",[[0, "I", 20, "P", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Espresso@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Double Espresso@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Americano@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Cappuccino@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Latte@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Raff Coffee@true;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Espresso@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Double Espresso@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Americano@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Cappuccino@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Latte@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;LTIP@TBL2@Raff Coffee@false;"";[[true,"","","1","","LTIP_TBL2",[[0, "I", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Espresso@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Espresso@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 0.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Espresso@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Espresso@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 0.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Espresso@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Double Espresso@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
